Don't see your tags in the report? New tags are excluded by default - go to https://portal.aws.amazon.com/gp/aws/developer/account?action=cost-allocation-report to update your cost allocation keys.
InvoiceID,PayerAccountId,LinkedAccountId,RecordType,RecordID,BillingPeriodStartDate,BillingPeriodEndDate,InvoiceDate,PayerAccountName,LinkedAccountName,TaxationAddress,PayerPONumber,ProductCode,ProductName,SellerOfRecord,UsageType,Operation,AvailabilityZone,RateId,ItemDescription,UsageStartDate,UsageEndDate,UsageQuantity,BlendedRate,CurrencyCode,CostBeforeTax,Credits,TaxAmount,TaxType,TotalCost,user:Name,user:project
"Estimated","937951391671","937951391671","PayerLineItem","6400000000132671881-11","2013/11/01 00:00:00","2013/11/30 23:59:59","2013/11/25 23:42:09","Free Association","","20 Jay Street, 516, Brooklyn, New York, 11201, US",,"AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","DataTransfer-Out-Bytes",,"","913846","$0.120 per GB - up to 10 TB / month data transfer out","2013/11/01 00:00:00","2013/11/30 23:59:59","0.11466040",,"USD","0.013759","0.000000","0.000000","None","0.013759","cornell-staging",
"Estimated","937951391671","937951391671","PayerLineItem","6400000000132671881-12","2013/11/01 00:00:00","2013/11/30 23:59:59","2013/11/25 23:42:09","Free Association","","20 Jay Street, 516, Brooklyn, New York, 11201, US",,"AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","DataTransfer-Out-Bytes",,"","913846","$0.120 per GB - up to 10 TB / month data transfer out","2013/11/01 00:00:00","2013/11/30 23:59:59","0.63867246",,"USD","0.076642","0.000000","0.000000","None","0.076642","mdg.prod.web","mdga"
"Estimated","937951391671","937951391671","PayerLineItem","6400000000132671881-13","2013/11/01 00:00:00","2013/11/30 23:59:59","2013/11/25 23:42:09","Free Association","","20 Jay Street, 516, Brooklyn, New York, 11201, US",,"AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","DataTransfer-Out-Bytes",,"","913846","$0.120 per GB - up to 10 TB / month data transfer out","2013/11/01 00:00:00","2013/11/30 23:59:59","0.02557728",,"USD","0.003069","0.000000","0.000000","None","0.003069","stattis.staging",
"Estimated","937951391671","937951391671","PayerLineItem","6400000000132671881-14","2013/11/01 00:00:00","2013/11/30 23:59:59","2013/11/25 23:42:09","Free Association","","20 Jay Street, 516, Brooklyn, New York, 11201, US",,"AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","DataTransfer-Out-Bytes",,"","913846","$0.120 per GB - up to 10 TB / month data transfer out","2013/11/01 00:00:00","2013/11/30 23:59:59","0.00005907",,"USD","0.000007","0.000000","0.000000","None","0.000007",,"internal"
"Estimated","937951391671","937951391671","PayerLineItem","6400000000132671881-15","2013/11/01 00:00:00","2013/11/30 23:59:59","2013/11/25 23:42:09","Free Association","","20 Jay Street, 516, Brooklyn, New York, 11201, US",,"AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","DataTransfer-Out-Bytes",,"","913846","$0.120 per GB - up to 10 TB / month data transfer out","2013/11/01 00:00:00","2013/11/30 23:59:59","294.99552414",,"USD","35.400015","0.000000","0.000000","None","35.400015",,
"Estimated","937951391671","937951391671","PayerLineItem","6400000000132671881-16","2013/11/01 00:00:00","2013/11/30 23:59:59","2013/11/25 23:42:09","Free Association","","20 Jay Street, 516, Brooklyn, New York, 11201, US",,"AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","DataTransfer-Out-Bytes",,"","913846","$0.120 per GB - up to 10 TB / month data transfer out","2013/11/01 00:00:00","2013/11/30 23:59:59","0.02697059",,"USD","0.003237","0.000000","0.000000","None","0.003237","prio.web",
"Estimated","937951391671","937951391671","PayerLineItem","6400000000132671881-17","2013/11/01 00:00:00","2013/11/30 23:59:59","2013/11/25 23:42:09","Free Association","","20 Jay Street, 516, Brooklyn, New York, 11201, US",,"AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","DataTransfer-Out-Bytes",,"us-east-1","913846","$0.120 per GB - up to 10 TB / month data transfer out","2013/11/01 00:00:00","2013/11/30 23:59:59","0.00061065",,"USD","0.000073","0.000000","0.000000","None","0.000073",,"internal"
"Estimated","937951391671","937951391671","PayerLineItem","6400000000132671881-18","2013/11/01 00:00:00","2013/11/30 23:59:59","2013/11/25 23:42:09","Free Association","","20 Jay Street, 516, Brooklyn, New York, 11201, US",,"AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","DataTransfer-Out-Bytes",,"","913846","$0.120 per GB - up to 10 TB / month data transfer out","2013/11/01 00:00:00","2013/11/30 23:59:59","0.04467562",,"USD","0.005361","0.000000","0.000000","None","0.005361","fiesta.production.web02","fiestamovement"
"Estimated","937951391671","937951391671","PayerLineItem","6400000000132671881-19","2013/11/01 00:00:00","2013/11/30 23:59:59","2013/11/25 23:42:09","Free Association","","20 Jay Street, 516, Brooklyn, New York, 11201, US",,"AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","DataTransfer-Out-Bytes",,"","913846","$0.120 per GB - up to 10 TB / month data transfer out","2013/11/01 00:00:00","2013/11/30 23:59:59","0.05151045",,"USD","0.006181","0.000000","0.000000","None","0.006181","fa.labs.weatherz","internal"
"Estimated","937951391671","937951391671","PayerLineItem","6400000000132671882-0","2013/11/01 00:00:00","2013/11/30 23:59:59","2013/11/25 23:42:09","Free Association","","20 Jay Street, 516, Brooklyn, New York, 11201, US",,"AWSDataTransfer","AWS Data Transfer","Amazon Web Services, Inc.","DataTransfer-Out-Bytes",,"","913845","$0.000 per GB - first 1 GB of data transferred out per month","2013/11/01 00:00:00","2013/11/30 23:59:59","0.77746980",,"USD","0.000000","0.000000","0.000000","None","0.000000",,"fiestamovement"
