Don't see your tags in the report? New tags are excluded by default - go to https://portal.aws.amazon.com/gp/aws/developer/account?action=cost-allocation-report to update your cost allocation keys.,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
InvoiceID,PayerAccountId,LinkedAccountId,RecordType,RecordID,BillingPeriodStartDate,BillingPeriodEndDate,InvoiceDate,PayerAccountName,LinkedAccountName,TaxationAddress,PayerPONumber,ProductCode,ProductName,SellerOfRecord,UsageType,Operation,AvailabilityZone,RateId,ItemDescription,UsageStartDate,UsageEndDate,UsageQuantity,BlendedRate,CurrencyCode,CostBeforeTax,Credits,TaxAmount,TaxType,TotalCost,user:project
Estimated,930961391471,930961391471,PayerLineItem,6400000000132671881-11,2013/11/1 0:00:00,2013/11/30 23:59:59,2013/12/2 7:46:10,"Agency, Inc.",,"20 Jay Street, 000, Brooklyn, New York, 11201, US",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",DataTransfer-Out-Bytes,,,913846,$0.120 per GB - up to 10 TB / month data transfer out,2013/11/1 0:00:00,2013/11/30 23:59:59,0.00092826,,USD,0.000111,0,0,None,0.000111,weather-corp
Estimated,930961391471,930961391471,PayerLineItem,6400000000132671881-12,2013/11/1 0:00:00,2013/11/30 23:59:59,2013/12/2 7:46:10,"Agency, Inc.",,"20 Jay Street, 000, Brooklyn, New York, 11201, US",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",DataTransfer-Out-Bytes,,,913846,$0.120 per GB - up to 10 TB / month data transfer out,2013/11/1 0:00:00,2013/11/30 23:59:59,0.06530697,,USD,0.007837,0,0,None,0.007837,machine-corp
Estimated,930961391471,930961391471,PayerLineItem,6400000000132671881-13,2013/11/1 0:00:00,2013/11/30 23:59:59,2013/12/2 7:46:10,"Agency, Inc.",,"20 Jay Street, 000, Brooklyn, New York, 11201, US",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",DataTransfer-Out-Bytes,,,913846,$0.120 per GB - up to 10 TB / month data transfer out,2013/11/1 0:00:00,2013/11/30 23:59:59,0.00515519,,USD,0.000619,0,0,None,0.000619,internal
Estimated,930961391471,930961391471,PayerLineItem,6400000000132671881-14,2013/11/1 0:00:00,2013/11/30 23:59:59,2013/12/2 7:46:10,"Agency, Inc.",,"20 Jay Street, 000, Brooklyn, New York, 11201, US",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",DataTransfer-Out-Bytes,,,913846,$0.120 per GB - up to 10 TB / month data transfer out,2013/11/1 0:00:00,2013/11/30 23:59:59,"1,241.44146858",,USD,148.971666,0,0,None,148.971666,machine-corp
Estimated,930961391471,930961391471,PayerLineItem,6400000000132671881-15,2013/11/1 0:00:00,2013/11/30 23:59:59,2013/12/2 7:46:10,"Agency, Inc.",,"20 Jay Street, 000, Brooklyn, New York, 11201, US",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",DataTransfer-Out-Bytes,,,913846,$0.120 per GB - up to 10 TB / month data transfer out,2013/11/1 0:00:00,2013/11/30 23:59:59,0.00001758,,USD,0.000002,0,0,None,0.000002,solar-corp
Estimated,930961391471,930961391471,PayerLineItem,6400000000132671881-16,2013/11/1 0:00:00,2013/11/30 23:59:59,2013/12/2 7:46:10,"Agency, Inc.",,"20 Jay Street, 000, Brooklyn, New York, 11201, US",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",DataTransfer-Out-Bytes,,,913846,$0.120 per GB - up to 10 TB / month data transfer out,2013/11/1 0:00:00,2013/11/30 23:59:59,1.00907738,,USD,0.121088,0,0,None,0.121088,ad-corp
Estimated,930961391471,930961391471,PayerLineItem,6400000000132671881-17,2013/11/1 0:00:00,2013/11/30 23:59:59,2013/12/2 7:46:10,"Agency, Inc.",,"20 Jay Street, 000, Brooklyn, New York, 11201, US",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",DataTransfer-Out-Bytes,,,913846,$0.120 per GB - up to 10 TB / month data transfer out,2013/11/1 0:00:00,2013/11/30 23:59:59,0.21386397,,USD,0.025663,0,0,None,0.025663,media-corp
Estimated,930961391471,930961391471,PayerLineItem,6400000000132671881-18,2013/11/1 0:00:00,2013/11/30 23:59:59,2013/12/2 7:46:10,"Agency, Inc.",,"20 Jay Street, 000, Brooklyn, New York, 11201, US",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",DataTransfer-Out-Bytes,,,913846,$0.120 per GB - up to 10 TB / month data transfer out,2013/11/1 0:00:00,2013/11/30 23:59:59,0.11846202,,USD,0.014215,0,0,None,0.014215,machine-corp
Estimated,930961391471,930961391471,PayerLineItem,6400000000132671881-19,2013/11/1 0:00:00,2013/11/30 23:59:59,2013/12/2 7:46:10,"Agency, Inc.",,"20 Jay Street, 000, Brooklyn, New York, 11201, US",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",DataTransfer-Out-Bytes,,,913846,$0.120 per GB - up to 10 TB / month data transfer out,2013/11/1 0:00:00,2013/11/30 23:59:59,0.02884825,,USD,0.003462,0,0,None,0.003462,machine-corp
Estimated,930961391471,930961391471,PayerLineItem,6400000000132671881-20,2013/11/1 0:00:00,2013/11/30 23:59:59,2013/12/2 7:46:10,"Agency, Inc.",,"20 Jay Street, 000, Brooklyn, New York, 11201, US",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",DataTransfer-Out-Bytes,,,913846,$0.120 per GB - up to 10 TB / month data transfer out,2013/11/1 0:00:00,2013/11/30 23:59:59,0.00326372,,USD,0.000392,0,0,None,0.000392,media-corp
Estimated,930961391471,930961391471,PayerLineItem,6400000000132671881-21,2013/11/1 0:00:00,2013/11/30 23:59:59,2013/12/2 7:46:10,"Agency, Inc.",,"20 Jay Street, 000, Brooklyn, New York, 11201, US",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",DataTransfer-Out-Bytes,,,913846,$0.120 per GB - up to 10 TB / month data transfer out,2013/11/1 0:00:00,2013/11/30 23:59:59,0.01960317,,USD,0.002352,0,0,None,0.002352,internal
Estimated,930961391471,930961391471,PayerLineItem,6400000000132671881-22,2013/11/1 0:00:00,2013/11/30 23:59:59,2013/12/2 7:46:10,"Agency, Inc.",,"20 Jay Street, 000, Brooklyn, New York, 11201, US",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",DataTransfer-Out-Bytes,,,913846,$0.120 per GB - up to 10 TB / month data transfer out,2013/11/1 0:00:00,2013/11/30 23:59:59,0.40301036,,USD,0.048361,0,0,None,0.048361,ad-corp
Estimated,930961391471,930961391471,PayerLineItem,6400000000132671881-23,2013/11/1 0:00:00,2013/11/30 23:59:59,2013/12/2 7:46:10,"Agency, Inc.",,"20 Jay Street, 000, Brooklyn, New York, 11201, US",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",DataTransfer-Out-Bytes,,,913846,$0.120 per GB - up to 10 TB / month data transfer out,2013/11/1 0:00:00,2013/11/30 23:59:59,0.00866912,,USD,0.00104,0,0,None,0.00104,ad-corp
Estimated,930961391471,930961391471,PayerLineItem,6400000000132671881-24,2013/11/1 0:00:00,2013/11/30 23:59:59,2013/12/2 7:46:10,"Agency, Inc.",,"20 Jay Street, 000, Brooklyn, New York, 11201, US",,AWSDataTransfer,AWS Data Transfer,"Amazon Web Services, Inc.",DataTransfer-Out-Bytes,,,913846,$0.120 per GB - up to 10 TB / month data transfer out,2013/11/1 0:00:00,2013/11/30 23:59:59,0.01401101,,USD,0.001681,0,0,None,0.001681,university
